"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 20:17:38 GMT 2022","Tue Oct 11 20:17:38 GMT 2022","48","","brick-starter-kit-integration-test","","","","Happy path.","features/Hello.feature"
"passed","Tue Oct 11 20:17:38 GMT 2022","Tue Oct 11 20:17:38 GMT 2022","29","","brick-starter-kit-integration-test","","","","Unhappy path.","features/Hello.feature"
"passed","Tue Oct 11 20:17:38 GMT 2022","Tue Oct 11 20:17:38 GMT 2022","28","","brick-starter-kit-integration-test","","","","Buggy path.","features/Hello.feature"
